InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
580956,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,2,12/6/2011 14:23,0.79,17841.0,United Kingdom
580956,22744,MAKE YOUR OWN MONSOON CARD KIT,1,12/6/2011 14:23,0.79,17841.0,United Kingdom
580956,22499,WOODEN UNION JACK BUNTING,3,12/6/2011 14:23,5.95,17841.0,United Kingdom
580956,22357,KINGS CHOICE BISCUIT TIN,1,12/6/2011 14:23,4.25,17841.0,United Kingdom
580956,21564,PINK  HEART SHAPE LOVE BUCKET ,3,12/6/2011 14:23,0.79,17841.0,United Kingdom
580956,21563,RED HEART SHAPE LOVE BUCKET ,3,12/6/2011 14:23,0.79,17841.0,United Kingdom
580956,22604,SET OF 4 NAPKIN CHARMS CUTLERY,2,12/6/2011 14:23,2.55,17841.0,United Kingdom
580956,23291,DOLLY GIRL CHILDRENS CUP,1,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,21098,CHRISTMAS TOILET ROLL,1,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,22568,FELTCRAFT CUSHION OWL,10,12/6/2011 14:23,3.75,17841.0,United Kingdom
580956,21259,VICTORIAN SEWING BOX SMALL ,1,12/6/2011 14:23,5.95,17841.0,United Kingdom
580956,21871,SAVE THE PLANET MUG,2,12/6/2011 14:23,1.65,17841.0,United Kingdom
580956,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2,12/6/2011 14:23,2.1,17841.0,United Kingdom
580956,21894,POTTING SHED SEED ENVELOPES,1,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,2,12/6/2011 14:23,2.1,17841.0,United Kingdom
580956,15044C,PURPLE PAPER PARASOL,1,12/6/2011 14:23,2.95,17841.0,United Kingdom
580956,23002,TRAVEL CARD WALLET SKULLS,2,12/6/2011 14:23,0.42,17841.0,United Kingdom
580956,21988,PACK OF 6 SKULL PAPER PLATES,2,12/6/2011 14:23,0.85,17841.0,United Kingdom
580956,21989,PACK OF 20 SKULL PAPER NAPKINS,2,12/6/2011 14:23,0.85,17841.0,United Kingdom
580956,21213,PACK OF 72 SKULL CAKE CASES,2,12/6/2011 14:23,0.55,17841.0,United Kingdom
580956,22316,200 BENDY SKULL STRAWS,1,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,21987,PACK OF 6 SKULL PAPER CUPS,2,12/6/2011 14:23,0.65,17841.0,United Kingdom
580956,23320,GIANT 50'S CHRISTMAS CRACKER,3,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,20971,PINK BLUE FELT CRAFT TRINKET BOX,1,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,21154,RED RETROSPOT OVEN GLOVE ,1,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,21042,RED RETROSPOT APRON ,1,12/6/2011 14:23,5.95,17841.0,United Kingdom
580956,22990,COTTON APRON PANTRY DESIGN,1,12/6/2011 14:23,1.95,17841.0,United Kingdom
580956,20829,GLITTER HANGING BUTTERFLY STRING,3,12/6/2011 14:23,2.1,17841.0,United Kingdom
580956,22309,TEA COSY RED  STRIPE,3,12/6/2011 14:23,2.55,17841.0,United Kingdom
580956,21217,RED RETROSPOT ROUND CAKE TINS,1,12/6/2011 14:23,9.95,17841.0,United Kingdom
580956,21132,SILVER STANDING GNOME   ,1,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,21131,GOLD STANDING GNOME,6,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,22041,"RECORD FRAME 7"" SINGLE SIZE ",3,12/6/2011 14:23,2.55,17841.0,United Kingdom
580956,82001S,SILVER RECORD COVER FRAME,3,12/6/2011 14:23,3.75,17841.0,United Kingdom
580956,23526,WALL ART DOG LICENCE ,1,12/6/2011 14:23,5.95,17841.0,United Kingdom
580956,21137,BLACK RECORD COVER FRAME,2,12/6/2011 14:23,3.75,17841.0,United Kingdom
580956,22515,CHILDS GARDEN SPADE PINK,1,12/6/2011 14:23,2.1,17841.0,United Kingdom
580956,23301,GARDENERS KNEELING PAD KEEP CALM ,2,12/6/2011 14:23,1.65,17841.0,United Kingdom
580956,22494,EMERGENCY FIRST AID TIN ,1,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,21064,BOOM BOX SPEAKER BOYS,1,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,22509,SEWING BOX RETROSPOT DESIGN ,2,12/6/2011 14:23,3.95,17841.0,United Kingdom
580956,23300,GARDENERS KNEELING PAD CUP OF TEA ,3,12/6/2011 14:23,1.65,17841.0,United Kingdom
580956,23302,KNEELING MAT HOUSEWORK  DESIGN,1,12/6/2011 14:23,0.79,17841.0,United Kingdom
580956,22475,SKULL DESIGN TV DINNER TRAY,9,12/6/2011 14:23,1.95,17841.0,United Kingdom
580956,23355,HOT WATER BOTTLE KEEP CALM,1,12/6/2011 14:23,4.95,17841.0,United Kingdom
580956,21481,FAWN BLUE HOT WATER BOTTLE,1,12/6/2011 14:23,3.75,17841.0,United Kingdom
580956,22113,GREY HEART HOT WATER BOTTLE,1,12/6/2011 14:23,4.25,17841.0,United Kingdom
580956,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,12/6/2011 14:23,4.25,17841.0,United Kingdom
580956,21485,RETROSPOT HEART HOT WATER BOTTLE,1,12/6/2011 14:23,4.95,17841.0,United Kingdom
580956,22112,CHOCOLATE HOT WATER BOTTLE,3,12/6/2011 14:23,4.95,17841.0,United Kingdom
580956,21479,WHITE SKULL HOT WATER BOTTLE ,2,12/6/2011 14:23,4.25,17841.0,United Kingdom
580956,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,2,12/6/2011 14:23,0.79,17841.0,United Kingdom
580956,84971S,SMALL HEART FLOWERS HOOK ,4,12/6/2011 14:23,0.39,17841.0,United Kingdom
580956,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",1,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,82613D,METAL SIGN CUPCAKE SINGLE HOOK,1,12/6/2011 14:23,1.25,17841.0,United Kingdom
580956,23006,TRAVEL CARD WALLET FLOWER MEADOW,1,12/6/2011 14:23,0.42,17841.0,United Kingdom
580956,22995,TRAVEL CARD WALLET SUKI,1,12/6/2011 14:23,0.42,17841.0,United Kingdom
580956,21327,SKULLS WRITING SET ,1,12/6/2011 14:23,1.65,17841.0,United Kingdom
580956,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,12/6/2011 14:23,1.65,17841.0,United Kingdom
580956,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,1,12/6/2011 14:23,1.65,17841.0,United Kingdom
580956,37446,MINI CAKE STAND WITH HANGING CAKES,3,12/6/2011 14:23,1.45,17841.0,United Kingdom
580956,84992,72 SWEETHEART FAIRY CAKE CASES,2,12/6/2011 14:23,0.55,17841.0,United Kingdom
580956,22196,SMALL HEART MEASURING SPOONS,3,12/6/2011 14:23,0.85,17841.0,United Kingdom
580956,22135,MINI LADLE LOVE HEART PINK,2,12/6/2011 14:23,0.42,17841.0,United Kingdom
580956,22195,LARGE HEART MEASURING SPOONS,2,12/6/2011 14:23,1.65,17841.0,United Kingdom
580956,22133,PINK LOVE HEART SHAPE CUP,2,12/6/2011 14:23,0.85,17841.0,United Kingdom
